Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","1991","1991","7021","Annual value","LCU","4089","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","1992","1992","7021","Annual value","LCU","3822","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","1993","1993","7021","Annual value","LCU","3215","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","1994","1994","7021","Annual value","LCU","3854","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","1995","1995","7021","Annual value","LCU","4132","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","1996","1996","7021","Annual value","LCU","5189","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","1997","1997","7021","Annual value","LCU","6654","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","1998","1998","7021","Annual value","LCU","5759","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","1999","1999","7021","Annual value","LCU","4856","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","2000","2000","7021","Annual value","LCU","4351","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","2001","2001","7021","Annual value","LCU","4825","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","2002","2002","7021","Annual value","LCU","5051","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","2003","2003","7021","Annual value","LCU","5569","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","2004","2004","7021","Annual value","LCU","6653","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","2005","2005","7021","Annual value","LCU","6922","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","2006","2006","7021","Annual value","LCU","6832","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","2007","2007","7021","Annual value","LCU","11271","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","2008","2008","7021","Annual value","LCU","9689","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","2009","2009","7021","Annual value","LCU","8840","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7021","Annual value","LCU","8558","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7001","January","LCU","10229","A","Official figure"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7002","February","LCU","9618","A","Official figure"
